id,treatment,age,male,hhld_inc,white,republican,democrat,college,fb_min_wins_b,news_source_6_b,fb_activepassive
112,0,24,0,67,1,1,0,1,90,3,-0.77125508
113,1,38,1,45,1,0,1,1,120,3,-1.5046625
114,0,38,0,200,0,0,0,1,20,3,0.69555992
115,0,29,1,112,0,0,1,1,120,3,-2.23807
116,0,32,0,88,0,0,0,0,120,2,-0.77125508
117,0,21,1,112,0,0,1,0,60,5,0.32885617
118,0,34,1,55,1,1,0,0,45,4,0.69555992
119,0,45,1,138,1,1,0,1,60,4,-1.1379588
120,1,28,0,35,1,1,0,1,60,5,0.32885617
121,0,19,0,200,1,0,0,0,60,4,0.32885617
122,0,29,1,45,0,0,1,1,60,4,0.69555992
123,0,22,0,67,1,0,1,1,30,3,0.32885617
124,1,60,1,112,1,0,1,0,120,2,0.69555992
125,1,19,0,88,0,0,1,0,60,3,0.69555992
126,1,33,0,15,1,0,1,1,120,3,0.69555992
127,0,25,0,35,0,0,1,0,90,3,0.69555992
128,0,30,0,35,0,0,1,0,120,4,-1.5046625
129,0,35,0,112,1,0,0,1,60,3,-0.77125508
130,0,22,0,88,1,0,0,0,45,4,-0.03784757
131,0,23,1,88,0,0,1,1,60,3,-0.77125508
132,0,19,0,55,0,0,1,0,45,4,1.4289674
133,1,31,0,35,1,0,0,1,45,3,-0.77125508
134,0,62,0,67,1,1,0,1,120,2,-1.1379588
135,0,19,0,112,0,0,1,0,120,2,-0.40455133
136,0,26,0,88,1,0,1,1,60,5,1.4289674
137,1,46,1,138,1,0,0,1,30,3,-0.03784757
138,0,29,0,55,0,0,0,1,65,5,1.0622636
139,1,36,0,15,0,0,1,1,120,3,0.32885617
140,0,38,1,55,1,0,1,1,60,2,0.32885617
141,1,41,1,25,1,0,0,0,120,4,-0.40455133
142,0,22,0,5,0,0,0,0,120,5,-2.23807
143,1,19,1,67,0,0,1,0,120,3,1.4289674
144,1,21,1,112,0,0,1,0,30,5,0.32885617
145,0,22,1,112,1,0,0,0,60,4,0.69555992
146,0,24,0,15,0,0,0,0,120,4,0.69555992
147,0,27,0,15,1,0,1,0,60,5,1.4289674
148,0,36,1,35,1,0,0,1,45,2,1.0622636
149,1,21,0,88,0,0,1,0,60,3,1.0622636
150,0,38,1,88,1,1,0,1,30,3,-1.1379588
151,0,26,1,200,0,0,1,1,60,3,1.4289674
152,0,33,0,25,1,0,0,0,120,3,-0.03784757
153,0,24,1,55,1,0,1,1,45,4,1.0622636
154,0,63,1,112,1,0,1,0,120,3,-1.1379588
155,0,40,0,200,1,0,1,1,60,1,0.69555992
156,0,23,1,67,1,0,1,1,45,3,0.69555992
157,1,33,0,112,1,0,0,1,45,3,1.0622636
158,0,25,0,5,1,1,0,1,120,4,0.32885617
159,1,20,0,67,1,0,0,0,30,2,1.4289674
160,1,32,1,88,1,0,0,1,30,4,0.69555992
161,0,23,0,88,1,1,0,0,45,5,0.32885617
